Company Name,NAICS ,Layoff Total, Local Area,WARN Date,Layoff Date(s),Temp Layoffs,Perm Layoffs,Furloughs,Reason for Layoff,WARN Letter,Occupations,,,,
Ebassy Suites Denver Downtown,72,118,Denver,3/30/2020,3/19/20,118,,,COVID-19 Temporary Closure,Embassy Suites,Variety of positions - Request WARN for detail,,,,
EcoGen Laboratories,33,101,Grand Junction (Mesa),6/19/2020,6/17/2020 - 7/1/2020,,,101,Mass Layoff- Permanent,EcoGen,Variety of postions - Request WARN for detail,,,,
EcoGen Laboratories - Update,33,101,Mesa,7/23/2020,5/26/20-July/22/20,,,101,COVID Permanent,EcoGen Labs - Update,Not specified,,,,
Ecogen Laboratories Update,33,168,Mesa,7/23/2020,7/23/20,,,168,COVID Permanent,Ecogen Update,Not disclosed,,,,
Einstein Brothers,72,34,Denver DIA,3/26/2020,3/29/20,34,,,COVID-19 - Temporary Closure,Einstein Brothers,undisclosed,,,,
Electro Rent,53,1,Boulder,5/16/2019,,,,1,COVID Furlough,Electro Rent,"Electronic Tech, Digital Demand Generation, IT Tech Support, Test Equipment Operator, Equipment Support Techs, Production Operator",,,,54
Electro Rent ,53,55,Denver,7/1/2020,7/1/20,,55,,COVID Permanent,Electro Rent Update,"Various: Equipment Support Techs, Electronic Techs, Customer Support Tech, Territory Account Mgrs, and more",,,,
Electronic Recyclers,42,26,Araphaoe/Douglas,3/25/2020,3/24/20,26,,,COVID-19 Temporary Closure,Electronic Recyclers,"Operators, environmental and Safety, production, truck driver, HR assistant, loss prevention",,,,
Elizabeth Hotel,72,111,Larimer,3/27/2020,3/27/20,111,,,COVID-19 - Temporary Closure,Elizabeth Hotel,"Wait staff, bartenders, parking attendants, cooks, front desk, baristas, bellmen, room attendants",,,,
Embassy Suites & Hilton Garden Inn Boulder,72,126,Boulder,3/27/2020,3/27/20,126,,,COVID-19 - Temporary Closure,,Variety of positions - Request WARN for detail,,,,
Embassy Suites Boulder -Update,72,61,Boulder,5/15/2020,6/13/20,61,,,Reinstate and COVID Temporary,Embassy Suites Boulder,"Various: Cooks, Laundry, Managers, Breakfrast Attendnance and others; REINSTATING 95 AND LAYING OFF 61",,,,
Embassy Suites by Hilton Colo Springs - Updated,72,57,Pikes Peak,6/26/2020,7/1/20,,,57,COVID-19 Permanent RIF,Embassy Suites Colo Springs,"Various: Banquet Server, Bartenders, Comp Bar, Cooks, Sales, Front Desk, Housekeepers, Maintenance and others",,,,
Embassy Suites by Hilton Denver Tech North  - Updated,72,56,Denver,6/26/2020,7/1/20,,,56,COVID-19 Permanent RIF,Embassy Suites Denver,"Various: Banquet Server, Bartenders, Comp Bar, Cooks, Sales, Front Desk, Housekeepers, Maintenance and others",,,,
Embassy Suites Denver Downtown Update,72,112,Denver,6/29/2020,6/29/20,,,112,COVID Permanent,Embassy Suites Denver Downtown Update,"Banquet servers, sales managers, housekeeping room attendants, dishwashers, servers and more",,,,
Enterprise and National Rent-A-Car,53,83,Denver,4/30/2020,4/30/20,,,83,Mass Layoff - Permanent,Enterprise and National Rent-A-Car,"Various: DOT Bus Drivers, Drivers, Return Agents, Maintenance Techs and others",,,,
Etias,72,32,Denver DIA,3/26/2020,3/29/20,32,,,COVID-19 - Temporary Closure,Etias,undisclosed,,,,
Extraction Oil and Gas Inc,21,62,Denver,7/17/2020,7/17/20,,62, ,COVID-19 Permanent,Extraction Oil and Gas,Not Disclosed,,,,
Factual Data,56,26,Boulder,3/27/2020,3/27/20,,,26,Furlough,Factual Data,Not Disclosed,,,,
Flatiron,23,126,Arapahoe/Douglas,4/15/2020,4/24/20 & 5/31/20,,126,,Permanent closure,Flatiron,Various,,,,
